cast,title,year
Amy Adams,Enchanted,2007-11-20
James Marsden,Enchanted,2007-11-20
Jim Carrey,Batman Forever,1995-05-31
Val Kilmer,Batman Forever,1995-05-31
Ben Kingsley,Prince of Persia: The Sands of Time,2010-05-19
Jake Gyllenhaal,Prince of Persia: The Sands of Time,2010-05-19
Nicolas Cage,The Rock,1996-06-06
Sean Connery,The Rock,1996-06-06
Ed Harris,The Rock,1996-06-06
Mark Ruffalo,Now You See Me 2,2016-06-02
Jesse Eisenberg,Now You See Me 2,2016-06-02
Woody Harrelson,Now You See Me 2,2016-06-02
Jude Law,Sherlock Holmes: A Game of Shadows,2011-11-22
Cate Blanchett,The Curious Case of Benjamin Button,2008-11-24
Robert De Niro,Meet the Parents,2000-10-06
Mila Kunis,Black Swan,2010-12-02
Morgan Freeman,Se7en,1995-09-22
Gwyneth Paltrow,Se7en,1995-09-22
Meryl Streep,The Devil Wears Prada,2006-06-30
Emily Blunt,The Devil Wears Prada,2006-06-30
Liam Neeson,Taken 3,2014-12-16
Forest Whitaker,Taken 3,2014-12-16
Mark Wahlberg,The Perfect Storm,2000-03-15
George Clooney,The Perfect Storm,2000-03-15
Diane Lane,The Perfect Storm,2000-03-15
Jim Carrey,A Christmas Carol,2009-11-04
Gary Oldman,A Christmas Carol,2009-11-04
Will Ferrell,Megamind,2010-10-28
Mel Gibson,Lethal Weapon 3,1992-05-15
Joe Pesci,Lethal Weapon 3,1992-05-15
Danny Glover,Lethal Weapon 3,1992-05-15
Liam Neeson,Schindler's List,1993-11-29
Ben Kingsley,Schindler's List,1993-11-29
Ralph Fiennes,Schindler's List,1993-11-29
Vera Farmiga,The Conjuring 2,2016-05-13
Patrick Wilson,The Conjuring 2,2016-05-13
Michael Douglas,Fatal Attraction,1987-09-11
Vera Farmiga,The Conjuring,2013-07-18
Patrick Wilson,The Conjuring,2013-07-18
Sandra Bullock,The Proposal,2009-06-01
Ryan Reynolds,The Proposal,2009-06-01
Eddie Murphy,Beverly Hills Cop,1984-11-29
Gary Oldman,Air Force One,1997-07-25
Joan Cusack,Chicken Little,2005-11-04
Jack Nicholson,As Good as It Gets,1997-12-19
Greg Kinnear,As Good as It Gets,1997-12-19
Russell Crowe,A Beautiful Mind,2001-12-11
Ed Harris,A Beautiful Mind,2001-12-11
Jennifer Connelly,A Beautiful Mind,2001-12-11
Sylvester Stallone,The Expendables 2,2012-08-08
Jason Statham,The Expendables 2,2012-08-08
George Clooney,Ocean's Thirteen,2007-06-07
Mike Myers,Austin Powers: The Spy Who Shagged Me,1999-06-08
Cate Blanchett,Robin Hood,2010-05-12
Russell Crowe,Robin Hood,2010-05-12
Robert De Niro,Little Fockers,2010-12-21
Owen Wilson,Little Fockers,2010-12-21
John Travolta,Bolt,2008-11-21
Mel Gibson,Ransom,1996-11-08
Julia Roberts,Runaway Bride,1999-07-30
Richard Gere,Runaway Bride,1999-07-30
Joan Cusack,Runaway Bride,1999-07-30
Sandra Bullock,The Blind Side,2009-11-20
Jude Law,Rise of the Guardians,2012-11-21
Chris Pine,Rise of the Guardians,2012-11-21
Alec Baldwin,Rise of the Guardians,2012-11-21
Renée Zellweger,Chicago,2002-12-26
Catherine Zeta-Jones,Chicago,2002-12-26
Queen Latifah,Chicago,2002-12-26
Jackie Chan,Mulan,1998-06-18
Channing Tatum,G.I. Joe: The Rise of Cobra,2009-08-04
Dennis Quaid,G.I. Joe: The Rise of Cobra,2009-08-04
Ralph Fiennes,Wrath of the Titans,2012-03-27
Julia Roberts,Hook,1991-12-11
Robin Williams,Hook,1991-12-11
Dustin Hoffman,Hook,1991-12-11
Sylvester Stallone,Rambo: First Blood Part II,1985-05-21
Milla Jovovich,Resident Evil: Afterlife,2010-09-09
Julia Roberts,My Best Friend's Wedding,1997-06-19
Patrick Stewart,X-Men,2000-07-13
Kate Winslet,Insurgent,2015-03-18
Mark Ruffalo,Shutter Island,2010-02-18
Ben Kingsley,Shutter Island,2010-02-18
Angelina Jolie,Salt,2010-07-21
Penélope Cruz,G-Force,2009-07-21
Sam Rockwell,G-Force,2009-07-21
Jack Nicholson,The Departed,2006-10-05
Gwyneth Paltrow,Shakespeare in Love,1998-12-11
Geoffrey Rush,Shakespeare in Love,1998-12-11
