director,revenue,popularity,vote_average,name
217,25023434,17.329269,6.7,Bobby Farrelly
217,13596911,10.54544,5.9,Bobby Farrelly
487,369330363,143.041543,7.9,David Fincher
487,333932083,60.269279,7.3,David Fincher
487,327311859,79.579532,8.1,David Fincher
487,232617430,47.651083,7.2,David Fincher
487,224920315,69.27822,7.1,David Fincher
487,196397415,53.043124,6.5,David Fincher
487,159773545,45.856409,6.2,David Fincher
487,109423648,62.925175,7.5,David Fincher
487,100853753,146.757391,8.3,David Fincher
487,84785914,51.970905,7.3,David Fincher
1706,300228084,2.143764,5.8,Paul W.S. Anderson
1706,240159255,6.227675,5.6,Paul W.S. Anderson
1706,171183863,42.957216,5.5,Paul W.S. Anderson
1706,132274484,36.605246,5.6,Paul W.S. Anderson
1706,122195920,16.470895,5.4,Paul W.S. Anderson
1706,117831631,50.561849,5.2,Paul W.S. Anderson
1706,102984862,40.715623,6.4,Paul W.S. Anderson
1706,73762516,42.57877,6.0,Paul W.S. Anderson
1706,26673242,29.787135,6.5,Paul W.S. Anderson
1706,14567883,11.873856,6.1,Paul W.S. Anderson
2295,173046663,45.99611,7.0,Wes Craven
2295,172363301,35.244037,6.1,Wes Craven
2295,161834276,24.992057,5.7,Wes Craven
2295,97138686,35.21926,6.1,Wes Craven
2295,57891803,8.802626,6.2,Wes Craven
2295,25504513,38.204158,7.2,Wes Craven
2295,19829957,7.001176,5.2,Wes Craven
2295,19800000,6.772615,4.5,Wes Craven
2295,19294901,11.195593,5.1,Wes Craven
2295,18090181,14.730796,6.4,Wes Craven
2067,123384128,19.113278,6.8,Stephen Frears
2067,100129872,29.019504,7.4,Stephen Frears
2067,48902953,19.237254,6.6,Stephen Frears
2067,47126295,23.982956,7.0,Stephen Frears
2067,34670720,14.480628,7.0,Stephen Frears
2067,12379402,6.067212,5.7,Stephen Frears
2067,9366227,5.494047,5.9,Stephen Frears
2067,2451545,3.703005,6.6,Stephen Frears
2067,0,9.177896,6.8,Stephen Frears
2067,0,2.894154,6.4,Stephen Frears
1046,70000000,30.301307,7.4,John Carpenter
1046,50244700,24.351305,6.9,John Carpenter
1046,42277365,21.637234,5.6,John Carpenter
1046,21378361,14.518598,6.4,John Carpenter
1046,19629760,52.731379,7.8,John Carpenter
1046,14358033,7.222985,5.7,John Carpenter
1046,14010832,13.145205,4.8,John Carpenter
1046,13008928,29.852608,7.1,John Carpenter
1046,11000000,29.796394,7.1,John Carpenter
1046,0,17.016284,5.8,John Carpenter
1080,366101666,51.881077,6.9,John McTiernan
1080,199200000,46.212155,7.2,John McTiernan
1080,140767956,66.169628,7.5,John McTiernan
1080,137298489,32.044191,6.1,John McTiernan
1080,124305181,18.102572,6.6,John McTiernan
1080,98235548,50.009408,7.3,John McTiernan
1080,61698899,27.220157,6.4,John McTiernan
1080,42792561,19.226763,6.2,John McTiernan
1080,0,7.021871,5.8,John McTiernan
1080,0,9.306253,3.4,John McTiernan
1297,152500343,28.727731,6.8,Lasse Hallström
1297,114977104,19.402816,6.6,Lasse Hallström
1297,97594140,37.729059,6.9,Lasse Hallström
1297,88880821,27.898438,7.3,Lasse Hallström
1297,47801389,43.217089,7.7,Lasse Hallström
1297,30000000,33.282794,7.5,Lasse Hallström
1297,18618284,6.353971,6.7,Lasse Hallström
1297,11772461,5.073536,6.4,Lasse Hallström
1297,0,11.1399,6.4,Lasse Hallström
1767,293329073,48.829437,6.2,Phillip Noyce
1767,215887717,18.832471,6.4,Phillip Noyce
1767,178051587,19.637704,6.3,Phillip Noyce
1767,151493655,33.884459,6.5,Phillip Noyce
1767,118063304,20.913852,5.9,Phillip Noyce
1767,66980456,53.811461,6.4,Phillip Noyce
1767,27674124,5.133744,6.4,Phillip Noyce
1767,4291965,4.052219,6.4,Phillip Noyce
1767,0,2.128211,6.8,Phillip Noyce
2247,90508336,3.107371,6.4,Tyler Perry
2247,60072596,2.986286,6.1,Tyler Perry
2247,57231524,5.882208,6.0,Tyler Perry
2247,55184721,2.005111,6.1,Tyler Perry
2247,37000000,1.934524,7.0,Tyler Perry
2247,0,2.242809,6.0,Tyler Perry
2247,0,4.448494,6.2,Tyler Perry
2247,0,5.377155,7.0,Tyler Perry
2247,0,7.050951,5.9,Tyler Perry
1857,401128639,60.034162,5.2,Rob Cohen
1857,277448382,46.217769,5.8,Rob Cohen
1857,207283925,6.909942,6.6,Rob Cohen
1857,159212469,16.681269,5.8,Rob Cohen
1857,115267375,31.791979,6.4,Rob Cohen
1857,76932943,17.88953,4.9,Rob Cohen
1857,52425855,24.161735,4.1,Rob Cohen
1857,35007180,11.375032,5.8,Rob Cohen
1857,30353232,14.513243,5.1,Rob Cohen
548,271430189,38.864027,6.0,Dennis Dugan
548,246984278,45.589568,5.8,Dennis Dugan
548,234801895,34.86859,6.1,Dennis Dugan
548,214918407,37.02665,6.3,Dennis Dugan
548,201596308,40.597344,5.5,Dennis Dugan
548,149673788,22.132418,4.1,Dennis Dugan
548,41205099,26.598884,6.5,Dennis Dugan
548,19351569,12.887673,5.4,Dennis Dugan
548,0,6.74556,5.2,Dennis Dugan
1736,1118888979,123.630332,8.1,Peter Jackson
1736,1021103568,108.849621,7.0,Peter Jackson
1736,958400000,94.370564,7.6,Peter Jackson
1736,956019788,120.965743,7.1,Peter Jackson
1736,926287400,106.914973,8.0,Peter Jackson
1736,871368364,138.049577,8.0,Peter Jackson
1736,550000000,61.22601,6.6,Peter Jackson
1736,93525586,29.257137,6.6,Peter Jackson
1736,3049135,8.753409,7.0,Peter Jackson
1368,672806292,73.085576,7.7,M. Night Shyamalan
1368,408247917,28.848187,6.4,M. Night Shyamalan
1368,318502923,33.769336,4.7,M. Night Shyamalan
1368,256697520,27.491891,6.2,M. Night Shyamalan
1368,248118121,42.006908,6.9,M. Night Shyamalan
1368,243843127,42.840582,5.0,M. Night Shyamalan
1368,163403799,20.501582,4.9,M. Night Shyamalan
1368,98450062,38.94708,6.0,M. Night Shyamalan
1368,42285169,20.219385,5.3,M. Night Shyamalan
240,459359555,3.857526,6.3,Brett Ratner
240,347325802,35.814765,6.4,Brett Ratner
240,258022233,22.57178,6.1,Brett Ratner
240,243400000,76.842247,5.6,Brett Ratner
240,209196298,10.083905,6.7,Brett Ratner
240,152930623,36.743324,5.8,Brett Ratner
240,61347797,14.113066,6.0,Brett Ratner
240,0,19.705489,6.5,Brett Ratner
240,0,7.615653,5.9,Brett Ratner
107,609016565,51.328145,7.2,Ang Lee
107,245360480,34.981698,5.3,Ang Lee
107,213525736,45.742254,7.2,Ang Lee
107,178043761,44.135568,7.5,Ang Lee
107,135000000,20.898711,7.2,Ang Lee
107,8038061,14.916264,6.9,Ang Lee
107,635096,5.516207,6.6,Ang Lee
107,0,11.870161,6.2,Ang Lee
944,516642939,32.829538,6.1,Jay Roach
944,330444045,29.97224,6.6,Jay Roach
944,310940086,18.316151,6.2,Jay Roach
944,296655431,40.137264,5.9,Jay Roach
944,104907746,16.460356,5.6,Jay Roach
944,86387857,11.023691,5.5,Jay Roach
944,67683989,36.15716,6.5,Jay Roach
944,8888143,4.436792,6.0,Jay Roach
577,212000000,32.624355,6.1,Donald Petrie
577,177371441,23.854701,6.3,Donald Petrie
577,38159905,22.074306,5.8,Donald Petrie
577,36850101,6.80692,5.1,Donald Petrie
577,20455276,5.787891,5.6,Donald Petrie
577,14000000,3.314094,4.8,Donald Petrie
577,0,14.398356,5.4,Donald Petrie
577,0,6.379933,5.9,Donald Petrie
12,212874442,23.531721,5.9,Adam Shankman
12,132675402,8.351385,5.4,Adam Shankman
12,129181830,18.831023,5.7,Adam Shankman
12,113006880,35.4763,5.8,Adam Shankman
12,94728529,14.949395,5.5,Adam Shankman
12,90450008,31.160542,6.5,Adam Shankman
12,59418613,23.515938,6.0,Adam Shankman
12,41227069,33.283554,7.5,Adam Shankman
1426,599045960,88.935165,7.3,Martin Campbell
1426,352194034,59.824565,6.6,Martin Campbell
1426,250288523,31.086791,6.3,Martin Campbell
1426,219851172,51.872839,5.1,Martin Campbell
1426,215663859,13.318744,5.9,Martin Campbell
1426,142400065,31.054334,5.9,Martin Campbell
