cast,revenue,popularity,vote_average,name
5327,206678440,44.301745,7.6,Tom Hanks
5327,181001478,49.078546,7.3,Tom Hanks
5327,165478348,48.445978,7.2,Tom Hanks
5327,151668774,20.716023,6.9,Tom Hanks
5327,130482868,73.872343,6.6,Tom Hanks
5327,119000410,18.70031,6.5,Tom Hanks
5327,112544580,31.957947,7.3,Tom Hanks
5327,107458785,21.661028,6.7,Tom Hanks
5327,95000000,52.786917,7.6,Tom Hanks
5327,69821334,21.735068,6.1,Tom Hanks
5327,55247881,31.066874,6.9,Tom Hanks
5327,36160375,20.355458,5.7,Tom Hanks
5327,34585416,14.885388,6.8,Tom Hanks
5327,1678874,5.323184,7.2,Tom Hanks
5327,0,23.666229,6.0,Tom Hanks
1327,266465037,42.361215,7.4,Denzel Washington
1327,208076205,34.773106,6.3,Denzel Washington
1327,206678440,44.301745,7.6,Denzel Washington
1327,195268056,17.923254,6.3,Denzel Washington
1327,192330738,79.922059,7.1,Denzel Washington
1327,184376254,45.220386,7.3,Denzel Washington
1327,167805466,37.698465,6.3,Denzel Washington
1327,161772375,42.213765,6.5,Denzel Washington
1327,157387195,20.334629,7.0,Denzel Washington
1327,157107755,32.363538,6.6,Denzel Washington
1327,151493655,33.884459,6.5,Denzel Washington
1327,150166126,40.597856,6.2,Denzel Washington
1327,136706683,25.996219,7.4,Denzel Washington
1327,131940411,42.881415,6.6,Denzel Washington
1327,130293714,45.299089,7.3,Denzel Washington
1327,116672912,20.089933,6.0,Denzel Washington
1327,104876233,52.081131,7.3,Denzel Washington
1327,102244770,27.465433,7.0,Denzel Washington
1327,100860818,12.971122,6.2,Denzel Washington
1327,96105964,21.394281,6.2,Denzel Washington
1327,73956241,20.825781,7.2,Denzel Washington
1327,55495563,14.993459,6.1,Denzel Washington
1327,48169908,19.822791,7.2,Denzel Washington
1327,30226144,10.84158,6.9,Denzel Washington
1327,26828365,16.102271,7.4,Denzel Washington
1327,24048000,5.301589,5.4,Denzel Washington
1327,21567853,10.232599,6.7,Denzel Washington
1327,16153593,3.079862,6.3,Denzel Washington
1327,0,3.735723,6.9,Denzel Washington
3952,390493908,28.803729,6.6,Morgan Freeman
3952,327311859,79.579532,8.1,Morgan Freeman
3952,286168572,67.698004,6.4,Morgan Freeman
3952,258270008,73.82289,6.4,Morgan Freeman
3952,216763646,70.456012,7.7,Morgan Freeman
3952,205754447,61.849521,5.8,Morgan Freeman
3952,193000000,22.392544,5.9,Morgan Freeman
3952,189859560,30.397496,6.3,Morgan Freeman
3952,175372502,31.305336,7.0,Morgan Freeman
3952,159157447,37.380435,7.7,Morgan Freeman
3952,145793296,19.585801,7.0,Morgan Freeman
3952,134402450,28.043508,6.4,Morgan Freeman
3952,127392239,17.537154,6.9,Morgan Freeman
3952,126546825,115.241998,6.3,Morgan Freeman
3952,122233971,23.85119,7.0,Morgan Freeman
3952,105178561,21.252797,6.1,Morgan Freeman
3952,95404397,6.63839,6.7,Morgan Freeman
3952,75715436,26.792794,5.3,Morgan Freeman
3952,74000000,3.698276,6.8,Morgan Freeman
3952,63781810,14.046705,6.1,Morgan Freeman
3952,60527873,18.913,6.2,Morgan Freeman
3952,60209334,20.58862,5.3,Morgan Freeman
3952,52424533,6.967857,6.7,Morgan Freeman
3952,50871113,25.999888,6.6,Morgan Freeman
3952,28341469,136.747729,8.5,Morgan Freeman
3952,19870567,10.930537,5.5,Morgan Freeman
3952,18618284,6.353971,6.7,Morgan Freeman
3952,6808550,6.397388,5.0,Morgan Freeman
3952,0,3.572339,5.9,Morgan Freeman
3562,1091405097,116.840296,5.8,Mark Wahlberg
3562,549368315,68.87691,6.3,Mark Wahlberg
3562,362211740,51.188633,5.6,Mark Wahlberg
3562,325756637,25.752118,6.2,Mark Wahlberg
3562,242786137,38.616744,5.8,Mark Wahlberg
3562,217022588,68.734513,6.2,Mark Wahlberg
3562,176070171,62.766854,6.6,Mark Wahlberg
3562,170432927,24.399642,6.1,Mark Wahlberg
3562,163403799,20.501582,4.9,Mark Wahlberg
3562,152263880,38.06168,5.9,Mark Wahlberg
3562,149295601,37.084384,7.4,Mark Wahlberg
3562,131940411,42.881415,6.6,Mark Wahlberg
3562,108000000,34.973086,6.6,Mark Wahlberg
3562,95696996,37.378081,6.9,Mark Wahlberg
3562,93617009,31.019381,7.2,Mark Wahlberg
3562,93525586,29.257137,6.6,Mark Wahlberg
3562,92374674,24.694551,6.7,Mark Wahlberg
3562,86175291,31.893932,6.1,Mark Wahlberg
3562,85416905,25.903237,5.2,Mark Wahlberg
3562,63100000,31.364901,6.1,Mark Wahlberg
3562,43101594,19.85579,7.5,Mark Wahlberg
3562,39171130,22.622453,5.7,Mark Wahlberg
3562,27007143,6.425528,6.1,Mark Wahlberg
3562,24332324,4.516953,5.9,Mark Wahlberg
3562,19701164,29.490057,5.7,Mark Wahlberg
3562,16991902,11.60815,6.0,Mark Wahlberg
3562,15156200,4.068107,6.0,Mark Wahlberg
3562,0,10.150993,6.0,Mark Wahlberg
5320,694713380,77.77477,6.8,Tom Cruise
5320,682330139,114.522237,7.1,Tom Cruise
5320,591739379,48.572726,6.2,Tom Cruise
5320,546388105,54.931334,5.9,Tom Cruise
5320,457696359,75.290998,6.7,Tom Cruise
5320,456758981,52.341226,7.3,Tom Cruise
5320,412800000,49.510658,7.6,Tom Cruise
5320,397850012,63.079003,6.5,Tom Cruise
5320,370541256,79.456485,7.6,Tom Cruise
5320,358372926,65.948959,7.1,Tom Cruise
5320,356830601,58.900647,6.7,Tom Cruise
5320,286168572,67.698004,6.4,Tom Cruise
5320,273552592,27.039636,6.7,Tom Cruise
5320,270248367,23.736535,6.6,Tom Cruise
5320,261930431,44.906918,5.9,Tom Cruise
5320,243240178,40.379966,7.1,Tom Cruise
5320,223664608,50.163785,7.2,Tom Cruise
5320,218340595,56.868399,6.3,Tom Cruise
5320,217764291,44.815022,7.0,Tom Cruise
5320,203388341,27.299301,6.5,Tom Cruise
5320,200276000,38.832842,6.7,Tom Cruise
5320,162091208,27.870312,7.1,Tom Cruise
5320,161001698,25.949277,6.7,Tom Cruise
5320,157920733,16.278022,5.9,Tom Cruise
5320,63215872,9.789027,6.0,Tom Cruise
5320,59418613,23.515938,6.0,Tom Cruise
5320,52293982,17.3393,6.7,Tom Cruise
5320,1246141,2.550045,4.5,Tom Cruise
499,746921274,44.989192,6.4,Ben Stiller
499,603900354,44.141021,6.2,Ben Stiller
499,574480841,48.780039,6.3,Ben Stiller
499,532680671,48.110909,6.6,Ben Stiller
499,516642939,32.829538,6.1,Ben Stiller
499,413106170,81.781591,5.9,Ben Stiller
499,369884651,57.110486,6.5,Ben Stiller
499,349424282,115.597753,6.1,Ben Stiller
499,330444045,29.97224,6.6,Ben Stiller
499,310650585,32.389353,5.4,Ben Stiller
499,188133322,43.348022,7.0,Ben Stiller
499,188072649,43.192048,6.5,Ben Stiller
499,171963386,33.238296,5.8,Ben Stiller
499,170268750,28.848842,5.6,Ben Stiller
499,167722310,41.156217,6.2,Ben Stiller
499,152930623,36.743324,5.8,Ben Stiller
499,71441250,24.13081,7.4,Ben Stiller
499,68267862,39.395881,5.3,Ben Stiller
499,60780981,38.0958,6.1,Ben Stiller
499,55969000,37.253774,4.7,Ben Stiller
499,41205099,26.598884,6.5,Ben Stiller
499,37036004,8.085872,5.9,Ben Stiller
499,29762011,12.948627,5.7,Ben Stiller
499,19322135,15.590001,5.9,Ben Stiller
499,14702438,5.500324,6.3,Ben Stiller
499,7587485,19.263477,5.8,Ben Stiller
499,1980338,2.732031,6.0,Ben Stiller
499,0,9.842771,4.8,Ben Stiller
1485,919838758,47.320801,6.7,Eddie Murphy
1485,798958165,42.986467,6.0,Eddie Murphy
1485,752600867,44.041186,6.0,Eddie Murphy
1485,484409218,67.298732,7.3,Eddie Murphy
1485,316360478,29.843818,6.8,Eddie Murphy
1485,304320254,67.427755,7.6,Eddie Murphy
1485,299965036,25.28436,6.1,Eddie Murphy
1485,294456605,21.462935,5.4,Eddie Murphy
1485,182290266,16.302378,5.2,Eddie Murphy
1485,176104344,13.543053,4.9,Eddie Murphy
1485,164433867,18.106021,5.6,Eddie Murphy
1485,154937680,14.486311,6.6,Eddie Murphy
1485,152930623,36.743324,5.8,Eddie Murphy
1485,128769345,20.28119,5.4,Eddie Murphy
1485,123307945,17.783361,4.7,Eddie Murphy
1485,119208989,20.333953,5.5,Eddie Murphy
1485,90400000,34.022209,7.1,Eddie Murphy
1485,79817939,15.26213,5.6,Eddie Murphy
1485,70100000,6.420434,5.4,Eddie Murphy
1485,50650079,18.676291,5.0,Eddie Murphy
1485,33561137,13.267631,5.2,Eddie Murphy
1485,22044277,13.119133,6.0,Eddie Murphy
1485,19800000,6.772615,4.5,Eddie Murphy
1485,7103973,12.092241,4.4,Eddie Murphy
1485,0,9.265672,4.9,Eddie Murphy
1485,0,13.191829,6.0,Eddie Murphy
1485,0,12.340384,5.7,Eddie Murphy
1485,0,7.828459,7.0,Eddie Murphy
2819,463000000,45.473484,7.0,Julia Roberts
2819,363889678,28.969151,7.0,Julia Roberts
2819,309457509,20.230535,5.7,Julia Roberts
2819,300854823,33.648404,6.6,Julia Roberts
2819,299288605,15.401855,6.3,Julia Roberts
2819,256271286,30.347332,7.1,Julia Roberts
2819,204594016,28.800112,5.8,Julia Roberts
2819,195268056,17.923254,6.3,Julia Roberts
2819,183018522,48.126297,5.5,Julia Roberts
2819,147845033,21.021809,5.8,Julia Roberts
2819,144000000,14.132583,5.8,Julia Roberts
2819,136982834,22.179658,6.5,Julia Roberts
2819,119000410,18.70031,6.5,Julia Roberts
2819,115505027,22.636908,6.7,Julia Roberts
2819,93282604,38.279458,6.5,Julia Roberts
2819,74188937,20.561682,6.9,Julia Roberts
2819,61489265,24.114459,6.3,Julia Roberts
2819,60000000,13.630049,5.7,Julia Roberts
2819,55181129,20.239061,5.5,Julia Roberts
2819,36160375,20.355458,5.7,Julia Roberts
2819,34854990,15.012237,6.2,Julia Roberts
2819,33013805,18.165957,6.6,Julia Roberts
2819,12379402,6.067212,5.7,Julia Roberts
2819,0,10.698929,5.5,Julia Roberts
2819,0,16.368283,6.9,Julia Roberts
2819,0,19.718544,6.5,Julia Roberts
